,repair_cost-,repair_time-parallel,repair_time-sequential
2109,4283547.0591828665,791.8763188934504,1892.8784472786992
2110,9148148.471051708,11379.942568410119,11379.942568410119
2111,4685528.015897868,1381.699254540769,3160.9811209931604
2112,3147245.2190507604,723.5693314456537,1814.9816313728918
2113,4038955.4818924363,855.9244718528875,2190.3308417687795
2114,3933276.06764915,721.7856314465164,2265.0708855363837
2115,10547370.03446353,1819.1741062397575,3849.7346673126394
2116,4296008.4089050125,1023.4676240039373,2794.124212086747
2117,3205806.2134999423,735.7830221441723,1814.568865862709
2118,2979611.862773814,476.50190174908806,1309.3155073454843
2119,3247216.5685203206,535.4740516530148,1570.9797527116823
2120,4365526.140468649,869.0001998108864,2547.9337777336414
2121,8699079.588170199,0.0,0.0
2122,4510369.168130052,1169.6573718434531,2805.965849071369
2123,3785270.2094059642,743.8015990537531,2132.338513610327
2124,4511318.236189987,945.2140803054571,2583.4974335989964
2125,3024592.711924343,548.490587733415,1398.6199565392199
2126,11430521.393515961,822.3996296669152,2464.834065372728
2127,3047529.1487038266,685.1050354765017,1607.2404006052107
2128,4132803.131241512,793.6543248244667,2395.492413719029
2129,4469738.23042912,1049.926470298894,2872.3314223003995
2130,10933938.04370411,16234.564023417768,16234.564023417768
2131,3929591.6543091484,1172.2232012277673,2232.9643535663454
2132,3410564.1091396166,705.960346737279,1927.8120002392154
2133,2785148.5517158466,652.1723724329812,1656.5053239278382
2134,5047821.071383013,1460.2197204986214,3212.452533775211
2135,5156910.597086721,1505.3363558795907,3287.83766563119
2136,3554363.420130272,672.5603478860676,1613.1499903014617
2137,11010276.749216517,1300.1329867105178,3222.6025566937174
2138,4216554.507542691,1125.9088885290762,2730.516684970982
2139,10496835.99354686,0.0,0.0
2140,3662801.5154154105,925.6852610056212,2014.3339336005213
2141,4069618.7903196453,1010.9935562845304,2267.4016176799337
2142,9186235.294914663,1698.2539762162082,3266.4226550237204
2143,3314297.857138506,844.585794915831,2290.4867449442163
2144,9721546.31509391,1951.964546512699,3621.732274424377
2145,4129778.833929854,810.0202646689744,2307.2933030644544
2146,2322792.1810051254,498.12981166162484,1103.9025287133297
2147,3977588.7262824145,938.6600405672731,2698.244246946175
2148,9018559.373864962,0.0,0.0
2149,4771699.06825525,923.1182618867854,2763.8543881719133
2150,10175895.405029003,2029.369466333169,3888.4691050809342
2151,10576021.42853476,1138.0343758467652,2944.8144101126877
2152,4958724.862793735,1057.86319178011,2289.4962343365296
2153,3929909.6598796602,768.2670769954951,1868.6078765428433
2154,4961171.3567892825,1526.5728885443468,2924.983593374924
2155,4573690.847624809,1180.9993449546178,2590.3507561934316
2156,4064391.793851376,835.1809381912001,2297.0461058099067
2157,2506334.944687468,533.3151869228222,1350.1123954254363
2158,9165756.041857012,1940.5397452473298,4085.284946595925
2159,3676294.5248441407,824.2047228358251,2161.376554523921
2160,4206764.924543221,708.9369505781679,2075.9345140857126
2161,3760563.2656770074,941.8640290472746,1910.6594228157028
2162,2063435.0049782314,247.3338027774754,823.9913386642255
2163,2363717.3216519905,713.6093099682291,1561.171000963116
2164,3212846.6466881693,1030.5753780392258,1716.6371837642905
2165,4782909.483397842,1262.7734158063304,3112.473389165816
2166,3864879.5803840784,991.1026378269894,2422.1503334789213
2167,4252313.285027966,937.6385947825763,2246.154375371269
2168,3715206.4899207726,847.2109372578826,2474.3081093042983
2169,3110872.937201721,684.5392692443822,1733.2247794399736
